date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:14	62872/62872	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f598-56888f2f312a3%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.eot?-i3a2kk	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons4c82.eot	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:14	62872/62872	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f598-56888f2f312a3%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.eot?	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Iconsd41d.eot	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:14	53368/53368	---M--	200	added ('OK')	application/font-sfnt	etag:%22d078-56888f2f44b25%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.ttf?-i3a2kk	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons4c82.ttf	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:15	26384/26384	---M--	200	added ('OK')	text/html	etag:%226710-56888f2f53586%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.woff2?-i3a2kk	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons4c82.html	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:15	53444/53444	---M--	200	added ('OK')	application/font-woff	etag:%22d0c4-56888f2f53586%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.woff?-i3a2kk	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons4c82.woff	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:15	197492/197492	---M--	200	added ('OK')	image/svg+xml	etag:%2230374-56888f2f42414%22	https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons.svg?-i3a2kk	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/fonts/Simple-Line-Icons4c82.svg	(from https://sweep.city/wp-content/themes/sceon/assets/css/simple-line-icons/simple-line-icons.css?ver=4.9.8)
11:09:16	45648/45648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b250-56888f2d4b50a%22	https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.eot	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.eot	(from https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/dripicons.css?ver=4.9.8)
11:09:16	45648/45648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b250-56888f2d4b50a%22	https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.eot?	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2d41d.eot	(from https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/dripicons.css?ver=4.9.8)
11:09:16	26004/26004	---M--	200	added ('OK')	application/font-woff	etag:%226594-56888f2d5c67b%22	https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.woff	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.woff	(from https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/dripicons.css?ver=4.9.8)
11:09:16	40348/40348	---M--	200	added ('OK')	application/font-sfnt	etag:%229d9c-56888f2d59f6b%22	https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.ttf	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/dripicons/fonts/dripicons-v2.ttf	(from https://sweep.city/wp-content/themes/sceon/assets/css/dripicons/dripicons.css?ver=4.9.8)
